site,checkpoint,km,refueling,cutOffTime
Vielle Aure,Départ,0.0,Départ,2023-8-25 05:00
Restaurant Merlans,CP,15.7,Petit Rav,2023-8-25 08:20
La Mongie,CP,30.7,Petit Rav,2023-8-25 12:45
Col de Sencours - Aller,CP,37.9,Petit Rav,2023-8-25 15:15
Col de Sencours - Retour,CP,44.6,Petit Rav,2023-8-25 16:40
Hautacam,CP,63.0,Petit Rav,2023-8-25 21:30
Pierrefitte - Entrée,CP,74.1,Gros Rav,2023-8-25 23:45
Pierrefitte - Sortie,CP,74.1,,2023-8-26 00:15
Turon de Béne,CP,82.4,Petit Rav,2023-8-26 03:15
Cauterets,CP,97.5,Petit Rav,2023-8-26 07:20
Aulian,CP,108.3,Petit Rav,2023-8-26 11:15
Luz Saint Sauveur - Entrée,CP,120.6,Gros Rav,2023-8-26 14:15
Luz Saint Sauveur - Sortie,CP,120.6,,2023-8-26 14:45
Tournaboup - Entrée,CP,133.0,Petit Rav,2023-8-26 18:45
Tournaboup - Sortie,CP,133.0,,2023-8-26 19:15
Cabane d'Aygues cluses,CP,139.5,Petit Rav,2023-8-26 22:15
Restaurant Merlans,CP,150.4,Petit Rav,2023-8-27 02:15
Vielle Aure,Arrivée,163.7,Petit Rav,2023-8-27 06:00


